order_id,has_review,is_dissatisfied,delivery_delay,delivery_deviation_abs,order_value,product_count,avg_price_per_item,prior_orders,is_repeat_customer,purchase_month,purchase_dow,y_pred_proba,risk_flag
e22acc9c116caa3f2b7121bbb380d08e,1,0,-5,5,141.9,1,141.9,0,0,5,3,0.4335865013521023,0
3594e05a005ac4d06a72673270ef9ec9,1,0,-5,5,27.19,1,27.19,0,0,5,0,0.4145356994350342,0
b33ec3b699337181488304f362a6b734,1,0,-2,2,86.22,1,86.22,0,0,3,4,0.4595755181675739,0
41272756ecddd9a9ed0180413cc22fb6,1,0,-12,12,43.62,1,43.62,0,0,10,3,0.37223154495026733,0
d957021f1127559cd947b62533f484f7,1,0,-8,8,196.89,1,196.89,0,0,11,1,0.38778258113447717,0
3e470077b690ea3e3d501cffb5e0c499,1,0,-12,12,166.98,1,166.98,0,0,4,3,0.40169136405490413,0
d0028facea13f508e880202d7097a5a1,1,0,-12,12,35.379999999999995,1,35.379999999999995,0,0,4,4,0.39956116712841944,0
44e608f2db00c74a1fe329de44416a4e,1,1,-10,10,419.18,2,209.59,0,0,2,2,0.6313308342963534,1
ae76bef74b97bcb0b3e355e60d9a6f9c,1,0,-28,28,150.12,1,150.12,0,0,3,5,0.3321656089704969,0
01b330808c5819a6a3cb79b72f0b8288,1,1,31,31,129.76,1,129.76,0,0,3,0,0.9997279641246088,1
6681163e3dab91c549952b2845b20281,1,0,-12,12,29.0,1,29.0,0,0,7,1,0.3746048138839293,0
67503374d1fbcbe5e3a40324f703ffc8,1,0,-8,8,126.26,1,126.26,0,0,11,6,0.4060343641903005,0
85bf8863657bff31006811d45d1c8db9,1,0,-8,8,63.66,1,63.66,0,0,3,5,0.4305707013873962,0
d342d7bad292d68d41d58ffb594cf431,1,0,-15,15,82.05,1,82.05,0,0,4,0,0.36916138413632205,0
f7fa5cf8386e51037856df1add3e1228,1,0,-15,15,91.28,1,91.28,0,0,8,4,0.3711597715402565,0
fd61441ba2a7b57e6342862e779b10b0,1,0,-13,13,46.85,1,46.85,0,0,9,4,0.37538392082475536,0
fd61441ba2a7b57e6342862e779b10b0,1,0,-13,13,46.85,1,46.85,1,1,9,4,0.34448840695411415,0
34801c59d6ec5c5e89bfefb6ebef314d,1,0,-9,9,29.0,1,29.0,0,0,12,1,0.3706489404909167,0
5fd641e5e16c3b056b1fb4dd6e429c43,1,0,-13,13,36.68,1,36.68,0,0,1,6,0.4150558417987019,0
c6d61340bd8baeedca7cc8e7f7ec07e9,1,1,-16,16,257.44,2,128.72,0,0,8,3,0.5621634484654755,0
c5d3fae065a8090bae39f4f34b14cd06,1,0,-15,15,78.42,1,78.42,0,0,6,0,0.36134561638871354,0
17e604bb550e265b46ebefe61430751b,1,0,-9,9,27.75,1,27.75,0,0,8,1,0.3860950325861957,0
4b2626de72497770ddfa81a533f70c76,1,0,-8,8,20.75,1,20.75,0,0,5,6,0.4247878671539679,0
87440e08790d85796f5b8bc9f5ed2707,1,0,-14,14,362.36,4,90.59,0,0,7,3,0.8625797119868454,1
57caee5837cc4a8f605f3a83bff208db,1,1,-19,19,325.93,1,325.93,0,0,7,1,0.35334649796604034,0
1fc81b1074b61a259529663946b10a32,1,0,2,2,61.8,1,61.8,0,0,3,0,0.5854932944223445,0
533dbcda0a703be171113573af8b3467,1,0,-14,14,212.16,2,106.08,0,0,8,3,0.5676491012307219,0
91d1bf2b7745903cb0d17162d1bbd750,1,0,-33,33,76.11,1,76.11,0,0,1,5,0.312212295530055,0
fb5d8b462dc9570527eff204b8a1a57b,1,0,-13,13,297.14,1,297.14,0,0,4,0,0.3898401613551706,0
58d34816de3da57e9e07d7b34aced1b8,1,0,-20,20,192.83,1,192.83,0,0,6,2,0.35003415082872796,0
3147d340c802cf04b463c4a5e532745d,1,0,-28,28,117.94,1,117.94,0,0,8,5,0.3127203178176699,0
